pl,tr,nl,uk
Czas,zaman,tijd,Time
Styczeń,ocak,januari,January
Luty,şubat,februari,February
Marzec,mart,maart,March
Kwiecień,nisan,april,April
Maj,mayıs,mei,May
Czerwiec,haziran,juni,June
Lipiec,temmuz,juli,July
Sierpien,ağustos,augustus,August
Wrzesień,eylül,september,September
Październik,ekim,oktober,October
Listopad,kasım,november,November
Grudzień,aralık,december,December
,,,
Poniedziałek,pazartesi,maandag,Monday
Wtorek,salı,dinsdag,Tuesday
Środa,çarşamba,woensdag,Wednesday
Czwartek,perşembe,donderdag,Thursday
Piątek,cuma,vrijdag,Friday
Sobota,cumartesi,zaterdag,Saturday
Niedziela,pazar,zondag,Sunday
,,,
Dzień,gün,dag,Day
Tydzień,hafta,week,Week
Miesiąc,ay,maand,Month
Rok,yıl,jaar,Year
weekend,haftasonu,weekend,Weekend
,,,
dzisiaj,bugün,vandaag,Today
jutro,yarın,morgen,Tomorrow
wczoraj,dün,gisteren,Yesterday
,,,
wiosna,ilkbahar,winter,Spring
lato,yaz,zomer,Summer
jesień,sonbahar,herfst,Autumn
zima,kış,winter,Winter
