pl,tr,nl,uk
liczby,sayılar,nummers,numbers
zero,sıfır,nul,zero
jeden,bir,een,one
dwa,iki,twee,two
trzy,üç,drie,three
cztery,dört,vier,four
pięć,beş,vijf,five
sześć,altı,zes,six
Siedem,yedi,zeven,seven
osiem,sekiz,acht,eight
dziewięć,dokuz,negen,nine
dziesięć,on,tien,ten
jedenaście,on bir,elf,eleven
dwanaście,on iki,twaalf,twelve
trzynaście,on üç,dertien,thirteen
czternaście,on dört,veertien,fourteen
piętnaście,on beş,vijftien,fifteen
szesnaście,on altı,zestien,sixteen
siedemnaście,on yedi,zeventien,seventeen
osiemnaście,on sekiz,achttien,eighteen
dziewiętnaście,on dokuz,negentien,nineteen
dwadzieścia,yirmi,twintig,twenty
